symbol,input_window,fold,dataset,MAE_mean,MSE_mean,RMSE_mean,MAPE_mean,bds_statistic,bds_pvalue
BTCUSDT,28,3,train,0.0005914488620280681,9.481451218996924e-07,0.0009477778283914454,11.099506806708089,,
BTCUSDT,28,3,validation,0.0005194916001072792,5.844959830403405e-07,0.000744776495816243,20.11022875948359,,
BTCUSDT,28,3,test,0.00047215400056241634,5.038001680796359e-07,0.0006871127773575637,11.289693657531979,2.2085653738102513,0.027204886015007805
BTCUSDT,28,4,train,0.0005643262308075556,9.20697338143404e-07,0.0009323745158326219,11.294382132664866,,
BTCUSDT,28,4,validation,0.00043204735969558584,4.831116139112263e-07,0.0006722967427323621,9.349264122336923,,
BTCUSDT,28,4,test,0.00038697636526015614,3.7676571698388714e-07,0.0005935900433281665,11.069546022879019,2.6705608477404237,0.007572464543435199
BTCUSDT,28,5,train,0.0005066937292582237,7.797351797678e-07,0.0008513436060074853,10.230738964499333,,
BTCUSDT,28,5,validation,0.00037396027633853897,3.5903382171876283e-07,0.0005755315731142792,10.53690096732278,,
BTCUSDT,28,5,test,0.0003827538338736177,3.761318775735581e-07,0.0005905384536269662,11.049233177426656,0.9908183560910401,0.3217742843911746
ETHUSDT,7,1,train,0.000768220493329374,1.7312831577952782e-06,0.0012657229354908703,7.882243487036758,,
ETHUSDT,7,1,validation,0.0006393610336373079,1.1610132412877526e-06,0.001035949653399811,8.415206916840603,,
ETHUSDT,7,1,test,0.0006746339262070856,1.3496329160322196e-06,0.001116118124632889,11.141661938187926,1.175882268594078,0.2396419253433998
ETHUSDT,7,2,train,0.0006805376971900769,1.370832425475601e-06,0.0011226173094899803,7.784130534910406,,
ETHUSDT,7,2,validation,0.0006379544009187605,1.2846509373757554e-06,0.0010897919707805305,10.10792040659456,,
ETHUSDT,7,2,test,0.0004416645454882303,6.991859369004154e-07,0.0008060502204706766,12.7497455646705,1.1030375787938993,0.2700108462626649
ETHUSDT,7,3,train,0.0006675687657801818,1.3624660733741208e-06,0.0011223215500824662,8.617078575027586,,
ETHUSDT,7,3,validation,0.0004607242242374276,6.897283934263086e-07,0.0007958625242867558,14.26093543540871,,
ETHUSDT,7,3,test,0.0005447316818117697,1.0160669545913813e-06,0.0009644137956820233,9.51038570293504,0.544110849354856,0.5863651949965155
ETHUSDT,7,4,train,0.0006860681559392294,1.321808150570014e-06,0.0011017311447393883,10.175440426308901,,
ETHUSDT,7,4,validation,0.0005820014578141188,1.0119962505574758e-06,0.0009647922395982745,9.52621580064683,,
ETHUSDT,7,4,test,0.0006584934682800767,1.3342677387205268e-06,0.0011104204921650936,9.462904104326496,0.35406961141347437,0.7232867153617324
ETHUSDT,7,5,train,0.0006134870705124527,1.1472093964900403e-06,0.0010234853271859498,9.930941363269598,,
ETHUSDT,7,5,validation,0.0006065269674962338,1.2538727392806018e-06,0.0010730569544923122,9.218671867865586,,
ETHUSDT,7,5,test,0.0005521020908484458,9.075493103466329e-07,0.0009093545799298642,11.729319831349656,0.3446584345384939,0.7303511699163967
ETHUSDT,14,1,train,0.0008312996086237143,1.8527009068293962e-06,0.0013211126408663686,8.554188974480756,,
ETHUSDT,14,1,validation,0.0007096459758789932,1.3075936361700584e-06,0.0011092178706464556,9.27337796281564,,
ETHUSDT,14,1,test,0.0007593600130996886,1.516689418225174e-06,0.0011970019643157196,12.247519109904337,2.944044685330323,0.003239532226249633
