symbol,input_window,fold,n_train,n_val,n_test,X_train_shape,y_train_shape,pred_test_shape,n_outputs,scaler_X_fit_rows,scaler_y_fit_rows,scalers_train_only,n_iter,loss,convergence_warning,convergence_messages,other_warnings,bds_statistic,bds_pvalue,bds_status,bds_warnings,bds_calendar_gaps,elapsed_seconds
BNBUSDT,14,5,37852,7550,7550,"(37852, 14)","(37852, 7)","(7550, 7)",7,37852,37852,True,42,0.024657720060378488,False,,,0.6258973825450513,0.5313822514618349,ok,,0,13.738581500016153
BNBUSDT,21,1,7560,7533,7532,"(7560, 21)","(7560, 7)","(7532, 7)",7,7560,7560,True,134,0.023883862982975106,False,,,6.266881702902126,3.683497652896238e-10,ok,,1,9.52703780005686
BNBUSDT,21,2,15120,7532,7532,"(15120, 21)","(15120, 7)","(7532, 7)",7,15120,15120,True,92,0.0245117518176877,False,,,0.718633254618146,0.47236691805532516,ok,,0,11.502339500002563
BNBUSDT,21,3,22679,7532,7532,"(22679, 21)","(22679, 7)","(7532, 7)",7,22679,22679,True,79,0.02531059724080241,False,,,3.667750996982259,0.00024469330386394283,ok,,0,14.116605899995193
BNBUSDT,21,4,30238,7532,7532,"(30238, 21)","(30238, 7)","(7532, 7)",7,30238,30238,True,57,0.025828011428596274,False,,,2.0572882363918463,0.03965850823913184,ok,,0,13.681452000048012
BNBUSDT,21,5,37797,7532,7532,"(37797, 21)","(37797, 7)","(7532, 7)",7,37797,37797,True,32,0.025929720520211516,False,,,1.2233340962265693,0.22120353403111792,ok,,0,12.31546640000306
BNBUSDT,28,1,7549,7515,7514,"(7549, 28)","(7549, 7)","(7514, 7)",7,7549,7549,True,94,0.02426858773225781,False,,,3.251645687282429,0.0011473895583614345,ok,,1,8.076722200028598
BNBUSDT,28,2,15098,7514,7514,"(15098, 28)","(15098, 7)","(7514, 7)",7,15098,15098,True,89,0.02265046565780662,False,,,1.1046593747189932,0.26930721295447857,ok,,0,12.438738500000909
BNBUSDT,28,3,22646,7514,7514,"(22646, 28)","(22646, 7)","(7514, 7)",7,22646,22646,True,116,0.02142624666707448,False,,,3.7480786375532165,0.00017819439071660974,ok,,0,18.366783999837935
BNBUSDT,28,4,30194,7514,7514,"(30194, 28)","(30194, 7)","(7514, 7)",7,30194,30194,True,72,0.022890533344568018,False,,,2.1558592517054307,0.03109465713150296,ok,,0,16.4926479998976
BNBUSDT,28,5,37742,7514,7514,"(37742, 28)","(37742, 7)","(7514, 7)",7,37742,37742,True,56,0.023448568061530544,False,,,1.0075702958315056,0.3136607949882674,ok,,0,16.210333899827674
XRPUSDT,7,1,7582,7569,7568,"(7582, 7)","(7582, 7)","(7568, 7)",7,7582,7582,True,49,0.029221793925609973,False,,,3.1786405067792494,0.0014796748302087872,ok,,1,6.145363399991766
XRPUSDT,7,2,15164,7568,7568,"(15164, 7)","(15164, 7)","(7568, 7)",7,15164,15164,True,24,0.029782974118107125,False,,,0.8480172025289432,0.39642839046226064,ok,,0,6.282039199955761
XRPUSDT,7,3,22745,7568,7568,"(22745, 7)","(22745, 7)","(7568, 7)",7,22745,22745,True,25,0.028926149881743544,False,,,1.4921029041982756,0.13567217066666554,ok,,0,7.455981499981135
XRPUSDT,7,4,30326,7568,7568,"(30326, 7)","(30326, 7)","(7568, 7)",7,30326,30326,True,42,0.031741263448851975,False,,,1.2191268374218505,0.2227960552037529,ok,,0,11.732748199952766
XRPUSDT,7,5,37907,7568,7568,"(37907, 7)","(37907, 7)","(7568, 7)",7,37907,37907,True,22,0.03224887487632456,False,,,1.033253863679014,0.3014851118396288,ok,,0,8.679856900125742
XRPUSDT,14,1,7571,7551,7550,"(7571, 14)","(7571, 7)","(7550, 7)",7,7571,7571,True,58,0.02883186302898746,False,,,2.8168704749450906,0.00484940782335172,ok,,1,6.879271799931303
XRPUSDT,14,2,15142,7550,7550,"(15142, 14)","(15142, 7)","(7550, 7)",7,15142,15142,True,31,0.029060145960018147,False,,,0.9182707095032938,0.3584771578479943,ok,,0,7.049457299988717
