symbol,input_window,fold,dataset,horizon,MAE,MSE,RMSE,MAPE
BTCUSDT,7,5,validation,2,0.0002196643631654498,1.846114391148098e-07,0.00042966433307270197,5.621430765237516
BTCUSDT,7,5,validation,3,0.0003071291817249563,2.98918078879163e-07,0.0005467340110868931,8.143444754370114
BTCUSDT,7,5,validation,4,0.00038656437082201746,4.1643998319866235e-07,0.0006453216122203427,10.53151452481793
BTCUSDT,7,5,validation,5,0.00047031358982625005,5.525612753089418e-07,0.0007433446544564249,13.137983623350664
BTCUSDT,7,5,validation,6,0.0005244195190256932,6.719878764184182e-07,0.0008197486666158221,14.406094262747038
BTCUSDT,7,5,validation,7,0.0005954260945708841,8.060187202233157e-07,0.0008977854533368848,16.743623093762526
BTCUSDT,7,5,test,1,0.0001389307273193821,8.908382160228724e-08,0.00029846913006588676,3.763755009711546
BTCUSDT,7,5,test,2,0.00022851957414217448,1.9521274587657247e-07,0.000441828864920087,5.98993003931024
BTCUSDT,7,5,test,3,0.00031736764264115425,3.125745088247288e-07,0.0005590836331218513,8.644539830358362
BTCUSDT,7,5,test,4,0.0004026082545980906,4.445212025631829e-07,0.0006667242327703283,11.263199218097151
BTCUSDT,7,5,test,5,0.0004856559079970916,5.80486334733594e-07,0.0007618965380769189,13.962095928237318
BTCUSDT,7,5,test,6,0.0005418035957922986,7.048795446266431e-07,0.0008395710479921535,15.300265932929896
BTCUSDT,7,5,test,7,0.0006151875684816039,8.377239102026719e-07,0.0009152725879226756,17.804778425316485
BTCUSDT,14,1,train,1,0.0003243751208795952,3.4593144505350556e-07,0.000588159370454561,5.538611835212554
BTCUSDT,14,1,train,2,0.0004559125131258841,6.284023652899135e-07,0.0007927183391911112,7.49818467455534
BTCUSDT,14,1,train,3,0.0005550983541038723,9.232111565497261e-07,0.0009608387776051329,8.60481568399556
BTCUSDT,14,1,train,4,0.0006785724265573434,1.2504972068620756e-06,0.0011182563243112356,10.601102363448478
BTCUSDT,14,1,train,5,0.0007811423373352284,1.555952373390416e-06,0.0012473781998216965,12.052629053686738
BTCUSDT,14,1,train,6,0.0008649548414823643,1.889905418739994e-06,0.001374738309184695,12.867780951702215
BTCUSDT,14,1,train,7,0.0009692880992280994,2.214314797862694e-06,0.001488057390648188,14.795606540932917
BTCUSDT,14,1,validation,1,0.000269798361078045,2.2589358041530442e-07,0.00047528263214144953,4.603899994251103
BTCUSDT,14,1,validation,2,0.00038944940675745404,4.540168204901952e-07,0.000673807702902093,6.599481401640178
BTCUSDT,14,1,validation,3,0.00048218692095596037,6.899285370722617e-07,0.0008306193695503746,7.940701656489716
BTCUSDT,14,1,validation,4,0.0005989651199207035,9.54523395128899e-07,0.0009769971315868326,9.872999463909434
BTCUSDT,14,1,validation,5,0.0006882241261066611,1.1911682054779655e-06,0.0010914065262210802,11.283761988093392
BTCUSDT,14,1,validation,6,0.0007880037546568642,1.4564902703219168e-06,0.001206851387007496,12.843576863706668
BTCUSDT,14,1,validation,7,0.0008748168069866258,1.704095964223523e-06,0.0013054102666301974,14.394854952241356
BTCUSDT,14,1,test,1,0.0003595662731379759,3.0880376607797384e-07,0.0005557011481704657,12.080236888287464
BTCUSDT,14,1,test,2,0.0004939617493499499,5.54241109129596e-07,0.0007444737128533122,14.954236269709744
BTCUSDT,14,1,test,3,0.0005605153678650204,7.686017900227798e-07,0.0008766993726601951,16.12549855225658
BTCUSDT,14,1,test,4,0.0006996911922955543,1.0823676949053265e-06,0.0010403690186204732,20.388411932447365
BTCUSDT,14,1,test,5,0.0007833676560288328,1.30964836793783e-06,0.0011443986927368581,22.202609007913853
BTCUSDT,14,1,test,6,0.0008389747782143175,1.5336711719839964e-06,0.0012384147818820625,22.16178535319738
BTCUSDT,14,1,test,7,0.0009745603161092718,1.8711214727018e-06,0.001367889422688033,26.813868853089538
BTCUSDT,14,2,train,1,0.00025868120694776375,2.580392095990422e-07,0.0005079755994130448,3.750650604921968
BTCUSDT,14,2,train,2,0.0003804470323773914,5.210917704917653e-07,0.0007218668647969411,5.476633303481244
BTCUSDT,14,2,train,3,0.0004982002705388071,7.997471310667436e-07,0.0008942858217967808,7.15155393633327
BTCUSDT,14,2,train,4,0.0006066940913886195,1.0741505695962544e-06,0.001036412354999811,8.83732889508971
BTCUSDT,14,2,train,5,0.0007101412427228904,1.3802010699948964e-06,0.0011748195904030952,10.307435749103956
BTCUSDT,14,2,train,6,0.0008157967696463527,1.7043134865183242e-06,0.001305493579654195,11.681901404645204
BTCUSDT,14,2,train,7,0.0008930533980033682,2.0026300585276724e-06,0.0014151431229835632,12.798804539604955
BTCUSDT,14,2,validation,1,0.0002176343939747466,2.040240884272941e-07,0.00045169025717552744,4.505282312120463
BTCUSDT,14,2,validation,2,0.0003232602689464917,4.203506233749798e-07,0.0006483445252140098,6.781629620076856
BTCUSDT,14,2,validation,3,0.0004324149045882435,6.481974389179082e-07,0.0008051070977937707,9.388429503143298
BTCUSDT,14,2,validation,4,0.0005529923773281075,8.857095350589388e-07,0.0009411214241844348,13.015811108836072
BTCUSDT,14,2,validation,5,0.000650177175347703,1.1239577273236545e-06,0.0010601687258751102,15.716744052411356
BTCUSDT,14,2,validation,6,0.0007396893126414412,1.3717074982467018e-06,0.001171199171040819,17.554190606181482
BTCUSDT,14,2,validation,7,0.0008165770988026638,1.6038608203015945e-06,0.0012664362677614672,19.53591552213959
BTCUSDT,14,2,test,1,0.00016792649970545797,1.3705156178786663e-07,0.00037020475657109896,4.939748101862692
BTCUSDT,14,2,test,2,0.00024563564391223995,2.833647142871686e-07,0.0005323201238795774,7.382826836224224
BTCUSDT,14,2,test,3,0.0003308986322366103,4.3127597898593667e-07,0.0006567160565921445,10.445587702426067
BTCUSDT,14,2,test,4,0.00045030680661003374,6.034473150844742e-07,0.0007768187144272943,15.534663130391394
BTCUSDT,14,2,test,5,0.0005397997764445407,7.722038291142123e-07,0.000878751289679971,19.320567109338267
BTCUSDT,14,2,test,6,0.0006107197362779569,9.337282958688104e-07,0.0009662961739905681,21.47451034980252
BTCUSDT,14,2,test,7,0.0006809776961930808,1.1060119165893354e-06,0.001051671011576023,24.053818593022086
BTCUSDT,14,3,train,1,0.00034613278722585257,3.009337437093717e-07,0.0005485742827633936,6.896340015008024
BTCUSDT,14,3,train,2,0.0004531839158261931,5.772005455982379e-07,0.000759737155599381,7.785739200009874
BTCUSDT,14,3,train,3,0.0005801859095654007,8.46357293813468e-07,0.0009199767898232368,10.968482852047288
BTCUSDT,14,3,train,4,0.0006485565738783354,1.0912923841725094e-06,0.0010446494073001282,11.618210038299669
BTCUSDT,14,3,train,5,0.0007257543942240758,1.3412797277743256e-06,0.001158136316576907,12.960536917513835
BTCUSDT,14,3,train,6,0.000817199274624435,1.6490378254139322e-06,0.0012841486773010095,14.185649040323145
BTCUSDT,14,3,train,7,0.0008781052823609745,1.8893034764205112e-06,0.001374519361966397,15.253750157455853
BTCUSDT,14,3,validation,1,0.0003662865483618292,2.3764952334458995e-07,0.0004874931008174269,14.727375116635011
BTCUSDT,14,3,validation,2,0.000349415626536361,3.120102847165642e-07,0.0005585788079730238,12.989899676412364
BTCUSDT,14,3,validation,3,0.0005363143334150529,5.638753120194814e-07,0.0007509163149242939,21.09473659564271
BTCUSDT,14,3,validation,4,0.0005385041097275832,6.512099822686493e-07,0.0008069758250831615,20.055967376267976
BTCUSDT,14,3,validation,5,0.0006046403022672832,8.066442377123392e-07,0.0008981337526851662,22.13233947361635
BTCUSDT,14,3,validation,6,0.0006482764179405767,9.397819759978929e-07,0.0009694235276688373,23.379326895640286
BTCUSDT,14,3,validation,7,0.0006999641749612166,1.1026578205880477e-06,0.0010500751499716806,25.034529307289432
BTCUSDT,14,3,test,1,0.00029688938700033,1.7061134678250426e-07,0.0004130512641095585,7.542960023168595
BTCUSDT,14,3,test,2,0.00033658867444477203,2.797886124077747e-07,0.0005289504819997566,7.70917241811727
BTCUSDT,14,3,test,3,0.00047011843126863127,4.581935844932383e-07,0.0006768999811591357,11.455541774355254
BTCUSDT,14,3,test,4,0.0005132266340502748,5.88780119701759e-07,0.0007673200894683776,11.94816230233679
BTCUSDT,14,3,test,5,0.0005824364808251648,7.377522373920983e-07,0.0008589250475985075,13.478032123143603
BTCUSDT,14,3,test,6,0.0006444823127728768,8.827153273344214e-07,0.0009395293115887452,14.711974605953076
BTCUSDT,14,3,test,7,0.0007022477187131541,1.0353978315583609e-06,0.0010175450022275971,15.973782901793266
BTCUSDT,14,4,train,1,0.00026999987761974455,2.571745878119231e-07,0.0005071238387336205,4.4984508071535565
BTCUSDT,14,4,train,2,0.00037804117532285624,4.684797684662043e-07,0.0006844558192215216,6.901414897136197
BTCUSDT,14,4,train,3,0.0004986962241462831,7.294829373502019e-07,0.0008540977329030922,9.698632309129119
BTCUSDT,14,4,train,4,0.0006004673476119262,9.981740800972286e-07,0.0009990866229197689,11.405906506888025
BTCUSDT,14,4,train,5,0.0006814951485424381,1.231777488033302e-06,0.001109854714831316,13.47256661039691
BTCUSDT,14,4,train,6,0.0007924087507458772,1.5609116415455912e-06,0.0012493644950716308,15.844099615537699
BTCUSDT,14,4,train,7,0.0008704337718163055,1.823254348770226e-06,0.0013502793595290665,17.79937624282831
BTCUSDT,14,4,validation,1,0.00020483151198841086,1.2938468217176124e-07,0.00035970082314579324,4.043650690148329
BTCUSDT,14,4,validation,2,0.0003032653347590411,2.629474956174308e-07,0.0005127840633419011,6.22104284735426
BTCUSDT,14,4,validation,3,0.00039869657819106776,4.141722705774024e-07,0.0006435621730473307,8.48592305081148
BTCUSDT,14,4,validation,4,0.0004838011769795118,5.746761070867497e-07,0.000758073945658832,10.179257525153403
BTCUSDT,14,4,validation,5,0.0005568190339542902,7.227154884746358e-07,0.0008501267484761527,12.012331249808502
BTCUSDT,14,4,validation,6,0.0006346469832181015,8.861596716577587e-07,0.0009413605428621696,13.761804523491092
BTCUSDT,14,4,validation,7,0.0007022336236441986,1.0476791538502064e-06,0.001023561993164169,15.435052811217423
BTCUSDT,14,4,test,1,0.00016282934961180944,9.577141153069352e-08,0.0003094695647890007,3.987112864750174
BTCUSDT,14,4,test,2,0.00024681875876914034,1.937993533765281e-07,0.0004402264796403416,6.403259701404636
BTCUSDT,14,4,test,3,0.0003451341799036715,3.103649492538221e-07,0.0005571040739878161,9.64547551542114
BTCUSDT,14,4,test,4,0.0004101612473009666,4.24849556481188e-07,0.0006518048453956046,11.164563745136213
BTCUSDT,14,4,test,5,0.00048320901054195556,5.458217317891904e-07,0.0007387974903782432,13.630721350942723
BTCUSDT,14,4,test,6,0.0005607191654114484,6.84059349999947e-07,0.000827078805193282,16.14010067681811
