symbol,input_window,fold,n_train,n_val,n_test,X_train_shape,y_train_shape,pred_test_shape,n_outputs,scaler_X_fit_rows,scaler_y_fit_rows,scalers_train_only,n_iter,loss,convergence_warning,convergence_messages,other_warnings,bds_statistic,bds_pvalue,bds_status,bds_warnings,bds_calendar_gaps,elapsed_seconds
BNBUSDT,14,3,22712,7550,7550,"(22712, 14)","(22712, 7)","(7550, 7)",7,22712,22712,True,83,0.025324773898632972,False,,,2.472922726874441,0.013401311617765657,ok,,0,12.818939900025725
BNBUSDT,14,4,30282,7550,7550,"(30282, 14)","(30282, 7)","(7550, 7)",7,30282,30282,True,35,0.025586171116687276,False,,,1.276928842790436,0.20162737019773302,ok,,0,10.452134300023317
BNBUSDT,14,5,37852,7550,7550,"(37852, 14)","(37852, 7)","(7550, 7)",7,37852,37852,True,42,0.024657720060378207,False,,,0.6258973825450513,0.5313822514618349,ok,,0,15.900090100010857
BNBUSDT,21,1,7560,7533,7532,"(7560, 21)","(7560, 7)","(7532, 7)",7,7560,7560,True,134,0.023883862982975103,False,,,6.266881702902126,3.683497652896238e-10,ok,,1,10.691913400078192
BNBUSDT,21,2,15120,7532,7532,"(15120, 21)","(15120, 7)","(7532, 7)",7,15120,15120,True,92,0.02451175181768115,False,,,0.718633254618146,0.47236691805532516,ok,,0,11.316558599937707
BNBUSDT,21,3,22679,7532,7532,"(22679, 21)","(22679, 7)","(7532, 7)",7,22679,22679,True,79,0.02531059724080221,False,,,3.667750996982259,0.00024469330386394283,ok,,0,13.811540799913928
BNBUSDT,21,4,30238,7532,7532,"(30238, 21)","(30238, 7)","(7532, 7)",7,30238,30238,True,57,0.02582801142859628,False,,,2.0572882363918463,0.03965850823913184,ok,,0,19.717470800038427
BNBUSDT,21,5,37797,7532,7532,"(37797, 21)","(37797, 7)","(7532, 7)",7,37797,37797,True,32,0.025929720520211454,False,,,1.2233340962265693,0.22120353403111792,ok,,0,10.342932099942118
BNBUSDT,28,1,7549,7515,7514,"(7549, 28)","(7549, 7)","(7514, 7)",7,7549,7549,True,94,0.02426858773225667,False,,,3.251645687282429,0.0011473895583614345,ok,,1,9.884803199907765
BNBUSDT,28,2,15098,7514,7514,"(15098, 28)","(15098, 7)","(7514, 7)",7,15098,15098,True,89,0.022650465657805735,False,,,1.1046593747189932,0.26930721295447857,ok,,0,16.816490299999714
BNBUSDT,28,3,22646,7514,7514,"(22646, 28)","(22646, 7)","(7514, 7)",7,22646,22646,True,116,0.021426246667074347,False,,,3.7480786375532165,0.00017819439071660974,ok,,0,15.52784590004012
BNBUSDT,28,4,30194,7514,7514,"(30194, 28)","(30194, 7)","(7514, 7)",7,30194,30194,True,72,0.02289053334456792,False,,,2.1558592517054307,0.03109465713150296,ok,,0,13.661683899816126
BNBUSDT,28,5,37742,7514,7514,"(37742, 28)","(37742, 7)","(7514, 7)",7,37742,37742,True,56,0.02344856806153047,False,,,1.0075702958315056,0.3136607949882674,ok,,0,14.94128659996204
XRPUSDT,7,1,7582,7569,7568,"(7582, 7)","(7582, 7)","(7568, 7)",7,7582,7582,True,49,0.029221793925610008,False,,,3.1786405067792494,0.0014796748302087872,ok,,1,5.714161100098863
XRPUSDT,7,2,15164,7568,7568,"(15164, 7)","(15164, 7)","(7568, 7)",7,15164,15164,True,24,0.029782974118107146,False,,,0.8480172025289432,0.39642839046226064,ok,,0,6.1235523000359535
XRPUSDT,7,3,22745,7568,7568,"(22745, 7)","(22745, 7)","(7568, 7)",7,22745,22745,True,25,0.02892614988174361,False,,,1.4921029041982756,0.13567217066666554,ok,,0,10.208278800128028
XRPUSDT,7,4,30326,7568,7568,"(30326, 7)","(30326, 7)","(7568, 7)",7,30326,30326,True,42,0.03174126344885218,False,,,1.2191268374218505,0.2227960552037529,ok,,0,10.415519200032577
XRPUSDT,7,5,37907,7568,7568,"(37907, 7)","(37907, 7)","(7568, 7)",7,37907,37907,True,22,0.03224887487632451,False,,,1.033253863679014,0.3014851118396288,ok,,0,7.954617100069299
XRPUSDT,14,1,7571,7551,7550,"(7571, 14)","(7571, 7)","(7550, 7)",7,7571,7571,True,58,0.02883186302898759,False,,,2.8168704749450906,0.00484940782335172,ok,,1,6.799159100046381
XRPUSDT,14,2,15142,7550,7550,"(15142, 14)","(15142, 7)","(7550, 7)",7,15142,15142,True,31,0.029060145960018054,False,,,0.9182707095032938,0.3584771578479943,ok,,0,6.718234100146219
XRPUSDT,14,3,22712,7550,7550,"(22712, 14)","(22712, 7)","(7550, 7)",7,22712,22712,True,32,0.028549289514430694,False,,,1.6559582680754033,0.09773027030152025,ok,,0,7.55399929988198
XRPUSDT,14,4,30282,7550,7550,"(30282, 14)","(30282, 7)","(7550, 7)",7,30282,30282,True,39,0.03288119806635056,False,,,1.1355559454677393,0.2561424552550441,ok,,0,9.544630600139499
XRPUSDT,14,5,37852,7550,7550,"(37852, 14)","(37852, 7)","(7550, 7)",7,37852,37852,True,64,0.03130283684754958,False,,,1.4685946053718444,0.14194277894053406,ok,,0,17.15217799996026
XRPUSDT,21,1,7560,7533,7532,"(7560, 21)","(7560, 7)","(7532, 7)",7,7560,7560,True,49,0.029232305397276035,False,,,6.478456318891671,9.266574913088467e-11,ok,,1,7.588972699828446
XRPUSDT,21,2,15120,7532,7532,"(15120, 21)","(15120, 7)","(7532, 7)",7,15120,15120,True,79,0.02763500456455864,False,,,0.8229635963651206,0.4105286953727977,ok,,0,14.72065299982205
