symbol,input_window,fold,horizon,MAE,MSE,RMSE,MAPE,R2
XRPUSDT,28,4,1,0.00021659991362684314,3.627110728790565e-07,0.0006022549899162783,2.878685303310808,0.9836175135429871
XRPUSDT,28,4,2,0.0003830323277898367,8.510542257139403e-07,0.000922526002730514,5.039364758675162,0.9615607223804349
XRPUSDT,28,4,3,0.0005325267208139585,1.383707660268674e-06,0.0011763110389130394,6.9594858732326,0.9375027998528596
XRPUSDT,28,4,4,0.0006736259428284851,1.9568048666990725e-06,0.0013988584155299893,8.766813960152051,0.9116187657003794
XRPUSDT,28,4,5,0.0008096824227226764,2.5742132423269588e-06,0.0016044354902354158,10.498300540236048,0.8837334352297195
XRPUSDT,28,4,6,0.000940592669593457,3.235493880500693e-06,0.0017987478646271393,12.163979504215877,0.8538668696879617
XRPUSDT,28,4,7,0.0010639511896069229,3.938383921938415e-06,0.001984536198193022,13.73257983116852,0.8221212352516354
XRPUSDT,28,5,1,0.00016538801500158955,1.589878140277757e-07,0.0003987327601637163,3.0293395371850473,0.9849514896016826
XRPUSDT,28,5,2,0.00029383080944685343,3.746735799783474e-07,0.0006121058568404222,5.362350333722744,0.9645353739989032
XRPUSDT,28,5,3,0.0004097768023099213,6.176994693030484e-07,0.0007859385913053566,7.468894260804084,0.9415301540183956
XRPUSDT,28,5,4,0.0005175912712912824,8.910153787045739e-07,0.0009439361094399207,9.432357726485524,0.9156564213200412
XRPUSDT,28,5,5,0.0006190087783897293,1.1853041582754483e-06,0.001088716748413217,11.307195593879655,0.8877971187604938
XRPUSDT,28,5,6,0.0007158501951786117,1.4879504111280703e-06,0.0012198157283491921,13.086397243524575,0.859148064708615
XRPUSDT,28,5,7,0.0008065874214707143,1.7939910360897624e-06,0.00133939950578226,14.775694122729346,0.8301778244919334
SOLUSDT,7,1,1,0.00029148577506563414,5.648758458326966e-07,0.0007515822282576249,2.9011425931953783,0.9857255299056398
SOLUSDT,7,1,2,0.0005146549681532142,1.2170879594529087e-06,0.0011032170953411248,5.128829010032852,0.9692472962508472
SOLUSDT,7,1,3,0.0007101782165639804,1.962508028424493e-06,0.0014008954380768368,7.070632937689959,0.9504169331208379
SOLUSDT,7,1,4,0.0008838190566672764,2.749151526522987e-06,0.001658056551063017,8.781475811970829,0.9305487140222464
SOLUSDT,7,1,5,0.0010446905945051778,3.5649330581327036e-06,0.0018881030316517961,10.357562727342968,0.9099476627556393
SOLUSDT,7,1,6,0.0011965275022884163,4.417892545617586e-06,0.0021018783374918697,11.844157477769745,0.8884110028321257
SOLUSDT,7,1,7,0.0013436021274126483,5.304658235120022e-06,0.0023031843684603328,13.274653615259782,0.8660233868111247
SOLUSDT,7,2,1,0.00023455316028739355,3.696079583478152e-07,0.0006079539113681359,2.80670749556192,0.9807982201810131
SOLUSDT,7,2,2,0.00040622554783068904,7.873859048380473e-07,0.000887347679795269,4.829271407260607,0.9590894302074949
SOLUSDT,7,2,3,0.000557602784231879,1.2379879063103902e-06,0.0011126490490313602,6.623146216237301,0.9356699013787089
SOLUSDT,7,2,4,0.0006969910688809755,1.707868907057611e-06,0.0013068545852762698,8.266282789071147,0.9112430822160431
SOLUSDT,7,2,5,0.0008226695317179467,2.1963117407934957e-06,0.0014819958639596454,9.762193108253385,0.8858455709047315
SOLUSDT,7,2,6,0.0009416851088295614,2.7159232843015428e-06,0.001648005850809257,11.168184144350091,0.8588222413670994
SOLUSDT,7,2,7,0.0010559781933261192,3.2474954150985483e-06,0.0018020808569813255,12.520555264100825,0.8311719051729917
SOLUSDT,7,3,1,0.00023100302872573172,2.7478855642042093e-07,0.0005242027817747831,2.7643652261534215,0.9829767263979865
SOLUSDT,7,3,2,0.00039951882913477025,6.120938714447429e-07,0.0007823642830834898,4.770302656587904,0.9620803179237885
SOLUSDT,7,3,3,0.0005469467566687784,9.9386597264325e-07,0.0009969282685545887,6.531333873847582,0.9384289201402811
SOLUSDT,7,3,4,0.0006802375422691414,1.4005609892132232e-06,0.0011834529940868894,8.114691361454005,0.91323329698621
SOLUSDT,7,3,5,0.0008012466505457315,1.820984765256762e-06,0.0013494386852527839,9.569117594495378,0.8871869391319439
SOLUSDT,7,3,6,0.0009139057972355986,2.2562330458594776e-06,0.0015020762450220287,10.921610071832111,0.8602219807958019
SOLUSDT,7,3,7,0.0010198119508733699,2.707436276339885e-06,0.0016454289034594856,12.202490291683306,0.8322641381822017
SOLUSDT,7,4,1,0.00022351518804648938,2.8074065710837385e-07,0.0005298496551932198,2.7632973195406487,0.9820207790842894
SOLUSDT,7,4,2,0.0003878935030656813,6.341243134486146e-07,0.000796319228355447,4.757520201481113,0.9593896386080618
SOLUSDT,7,4,3,0.0005322369433470943,1.0168144301601803e-06,0.0010083721684775817,6.507192615723698,0.9348823015261161
SOLUSDT,7,4,4,0.0006658102802937761,1.4250711506489137e-06,0.0011937634399867144,8.128373193317302,0.908741692562484
SOLUSDT,7,4,5,0.0007892646322606555,1.8551735366138683e-06,0.0013620475529928712,9.620392066298626,0.881205432675281
SOLUSDT,7,4,6,0.0009040076721421758,2.3051472372870585e-06,0.0015182711343126624,11.001817770028909,0.8524038019058373
SOLUSDT,7,4,7,0.0010097059639308837,2.7659654680344026e-06,0.0016631191983842897,12.282211247104216,0.822908465396829
SOLUSDT,7,5,1,0.00017394985667100286,1.6009947145702872e-07,0.0004001243200019573,2.9848211683111145,0.9796754586522131
SOLUSDT,7,5,2,0.0003057281958409254,3.678425850940306e-07,0.0006065002762522295,5.2317479426906255,0.9533019378359884
SOLUSDT,7,5,3,0.00042279747435673866,5.943852057131144e-07,0.0007709638160854985,7.232892559294451,0.9245407290783936
SOLUSDT,7,5,4,0.0005312784952761464,8.401306642468508e-07,0.0009165864194100034,9.089748687430111,0.8933405781468096
SOLUSDT,7,5,5,0.0006324264448085756,1.098246733153398e-06,0.0010479726776750423,10.846656843869631,0.8605693448448388
SOLUSDT,7,5,6,0.0007271799664492485,1.3665601667232909e-06,0.0011689996435941675,12.498241136590597,0.8265027768951114
SOLUSDT,7,5,7,0.0008137887296739589,1.6325191555585057e-06,0.0012777007300453834,14.019852857424725,0.7927368807097134
